Detuning	PowerEng1	PowerEng2	PowerRef1	PowerRef2
-0.5	0.0008967081368647236	0.0009127211345119949	0.0002045966115432545	0.00022883445888623264	
-0.48	0.0009612738639578828	0.000979928760887712	0.00022014840873483914	0.0002464188667983943	
-0.46	0.0010325878004446218	0.0010543806804599318	0.0002374618361763357	0.00026603002566139114	
-0.44	0.0011115392733671119	0.0011370715511133682	0.0002567984018905185	0.0002879759886637488	
-0.42	0.001199149423536021	0.001229151780304161	0.0002784663812686624	0.00031262151858693133	
-0.4	0.001296589452364895	0.0013319509274262546	0.000302830105301097	0.0003403997022094313	
-0.38	0.0014051995202093632	0.0014470023540957182	0.00033032103613274855	0.00037182583434092426	
-0.36	0.0015265068889207206	0.001576067262356884	0.00036145081176491026	0.0004075137476018931	
-0.33999999999999997	0.0016622408005515948	0.0017211545602108923	0.0003968263019109256	0.0004481944888151905	
-0.32	0.0018143398537676817	0.0018845301422989345	0.0004371664074491407	0.0004947366348361412	
-0.3	0.0019849449855773157	0.0020687044829461095	0.0004833197192313518	0.0005481663028548355	
-0.28	0.0021763672116442484	0.002276379880290784	0.000536280995156948	0.0006096825065919621	
-0.26	0.0023910136069713976	0.0025103268249008115	0.0005972023342638735	0.0006806589968069736	
-0.24	0.002631247314881952	0.0027731410361277083	0.0006673913225467616	0.0007626155112388717	
-0.21999999999999997	0.002899147842891287	0.0030668072557578224	0.0007482824302390302	0.0008571269769503639	
-0.2	0.003196128027349852	0.003391963797250474	0.0008413584973078856	0.0009656155018085235	
-0.18	0.003522358106488423	0.0037467318467583667	0.0009479854997361772	0.0010889351740399173	
-0.15999999999999998	0.003875954728370302	0.004124975188566701	0.0010691070795189955	0.001226621437283062	
-0.14	0.004251930625854892	0.004513967084567772	0.0012047325197649087	0.0013756762447843592	
-0.12	0.004640995178930776	0.004891834011662661	0.0013531636837630437	0.0015289263998100946	
-0.09999999999999998	0.005028477467530576	0.005226130682689984	0.0015099887012566112	0.0016736122569979421	
-0.08000000000000002	0.005393930686365275	0.005476794050277032	0.0016670964873767105	0.0017922601296429292	
-0.06	0.005712337859810143	0.00560890433966093	0.0018123854406942022	0.001869406252340211	
-0.03999999999999998	0.005958019522601545	0.00561860347025386	0.001931243401702579	0.0019053882155711363	
-0.020000000000000018	0.006111211373330573	0.005558433756661867	0.0020102721302768176	0.0019264606109069648	
0.0	0.00616291157677475	0.005519480861844162	0.002040850508477129	0.0019691021952632616	
0.020000000000000018	0.006111583412600955	0.005551303801208983	0.0020190240985435313	0.0020402239390556725	
0.040000000000000036	0.005958633600124531	0.005607256451895755	0.0019454066819140003	0.0021013220607632374	
0.06000000000000005	0.005713036313261637	0.005596620615105486	0.0018281571454580978	0.0021033547352628606	
0.07999999999999996	0.005394604240446318	0.005465522906521913	0.001682055244262487	0.002027305513140242	
0.09999999999999998	0.0050290739809695055	0.005216542780749771	0.0015230997879937223	0.0018879826241174802	
0.12	0.0046415000836876035	0.004883932718839073	0.0013642110867066943	0.0017139590858158056	
0.14	0.004252348102730801	0.004507524385623482	0.001213868952693147	0.0015306696678118238	
0.16000000000000003	0.0038762962185826047	0.004119728032650709	0.0010766086204729835	0.0013545728298800042	
0.18000000000000005	0.0035226365513359448	0.0037424472257158673	0.0009541399163606985	0.0011940124275659596	
0.20000000000000007	0.0031963553944006516	0.0033884515132825465	0.0008464223854638094	0.0010519401266351714	
0.21999999999999997	0.002899334297092422	0.0030639161780692398	0.0007524697715971358	0.0009283038056281028	
0.24	0.002631401132066849	0.00277075185433463	0.000670874909390509	0.0008216233450378297	
0.26	0.0023911413787228437	0.0025083452291940764	0.0006001195702817679	0.0007298915191818177	
0.28	0.0021764741319682994	0.002274731019027981	0.0005387404610140255	0.0006510381966547802	
0.30000000000000004	0.001985035130493473	0.002067328653733277	0.000485407131413281	0.0005831436518388413	
0.32000000000000006	0.0018144164220338377	0.0018833794809243222	0.0004389495751954247	0.0005245184262835023	
0.33999999999999997	0.0016623063090997641	0.0017201904968043454	0.0003983590818548274	0.00047371698990605687	
0.36	0.0015265633267089393	0.0015752585599136072	0.00036277619675748735	0.0004295214682606672	
0.38	0.0014052484673626152	0.001446323589051855	0.000331473543017477	0.0003909140765384514	
0.4	0.001296632171684006	0.001331381307121069	0.00030383761323912436	0.00035704734257010725	
0.42000000000000004	0.0011991869305641664	0.0012286742184188198	0.0002793515466329782	0.0003272161962617137	
0.44000000000000006	0.0011115723900445816	0.0011366719415826982	0.0002575797495119783	0.00030083347119210684	
0.45999999999999996	0.0010326171962877656	0.0010540473247455137	0.00023815460396968413	0.0002774091405612769	
0.48	0.0009613000877778566	0.0009796519142455163	0.00022076520437943944	0.0002565330619800581	
0.5	0.0008967316413103759	0.0009124926449613038	0.00020514792562696324	0.00023786079739898693	
